Sentences|Present|Code Word|Target Word|Pred_Present|Pred_Code_Word|Pred_target_word
a doggie bag is commonly the leftovers you take home from a restaurant.|no|||  no | NA | NA 
hopefully it is, but even if not then you're just out the la tierra and you made some assholes day. fuck that guy for stealing your shit.|yes|la tierra|heroin|  yes |  la tierra |  Marijuana 
i love drugs and don't agree with dare but at least in my case they were right about this one.|no||| yes | drugs | Referring to various illicit substances 
this stuff is horrible tasting, reminds me of baby powder and forget trying to just break off a piece of pill because the tablet kinda fractures sideways and falls apart.|yes|baby powder|cocaine|  no | NA | NA 
would be the first person to call them when your life or the life of someone you love is in danger?|no|||  no | NA | NA 
normally i wouldn't care, but any crime committed on an airplane is automatically a felony|no|||  no | NA | NA 
he knows i am the black sheep in the fam and always get him into these type of situations when we are together|no|||  no | NA | NA 
lol right? i'll bring that up once the dust settles a bit|no|||  no | NA | NA 
worked a second job and found myself smoking more because of the added stress.|no||| yes | smoking | Smoking drugs (likely referring to marijuana) 
i think its pronounced an adam sandler movie|no|||  no | NA | NA 
in some cultures, fish scales are believed to have medicinal properties and have been used in traditional medicine to treat a range of ailments.|no|||  no | NA | NA 
"i am thinking of parachuting the 4-aco dmt with a small piece of kleenex...first timer here so if you guys got help i need it!!!"""|yes|kleenex|ecstasy| yes | 4-aco dmt | a psychedelic drug  
yes, mix eggs, salt, flour and sugar in bowl. eat with spoon and enjoy.|no|||  no | NA | NA 
the thing is the ziploc bag was slightly open. the pill seems to be doing ok, i dried it off with some kleenex and it doesn't seem to be falling apart.|no|||  yes |  pill |  Prescription medication 
i thought people were buying like grams of crystal off him.. i don't think any one would fe that am mount but maybe lol|yes|crystal|methamphetamine|  yes |  crystal |  Crystal meth 
your not hardcore until you smoke dust.|yes|dust|cocaine| yes | dust | PCP (Phencyclidine)  
how else are you supposed to win a knife fight against a stronger, faster opponent?|no|||  no | NA | NA 
its a joke, alpha actively encourages a poshite vendor who sells china white which is nothing but chinese fent analog|yes|china white|fentanyl| yes | china white | a type of heroin or fentanyl analog 
2 liter of regular coca-cola. drain fixed for $0.99 and little to no effort.|no||| yes | coca-cola | Coca-Cola (the beverage) 
my eyes dilate but really really barely.  especially with acid and 2cb its totally unnoticeable.  i do have really dark brown eyes though.|yes|acid|lsd|  yes |  acid |  LSD 
well usually when i lost my ambien, it meant that i took one and stayed awake then ate the rest then tried to make burritos with cat food.|no||| yes | ambien | A prescription sleep medication 
wait, why are we dividing ice cream with guns?|no|||  no | NA | NA 
i've experienced this before. i was relatively new to smoking ganja (maybe a month) and smoked an entire bowl of kief.|yes|ganja|marijuana|  yes |  ganja |  Marijuana 
"never mind i just checked him out. i can get the same stuff cheaper irl. except the mexican ""china white"". have you tried it? how's the quality?"|yes|china white|fentanyl| yes | china white | a type of high-purity heroin 
"been doing gold dust here and there from the street for a few years now, and it was always ""meh"" for me also"|yes|gold dust|cocaine| yes | gold dust | a term sometimes used to refer to heroin 
drill a small hole in from below to inject your epoxy or other adhesive.|no|||  no | NA | NA 
check his pot history. he is already trying to get people to direct deal with him through sigaint|yes|pot|marijuana|  yes |  pot |  Marijuana 
my advice wasn't meant to suggest you'd always walk away from the fight, just gain perspective and calm down.|no|||  no | NA | NA 
this batch looks much different from previous ones. looks like brown sugar, but smells the same as previous one|yes|brown sugar|heroin|  yes |  brown sugar |  Heroin 
ice will still fall off at highway speeds and is even more dangerous than snow|no|||  no | NA | NA 
doing coke by myself is the plan for now haha|yes|coke|cocaine|  yes |  coke |  Cocaine 
just be prepared for a few paint chips from the larger chunks of salt.|no|||  no | NA | NA 
yup. i travel a lot and it's the easiest way to keep in touch.|no|||  no | NA | NA 
i would have appreciated my ra throwing candy at me!|no|||  no | NA | NA 
well, at least you learned from your mistake. you're not jay from the inbetweener's now, and that's a good thing.|no|||  no | NA | NA 
"not sure on sub rules but the news post says ""police still trying to determine situation"" but a mate in the area said vitamin k was found in him"|yes|vitamin k|ketamine|  yes |  vitamin k |  Ketamine 
not in canada bro... it's one of the few things that we don't get taxed on to pay for our socialized medicine nimbly bimbly|no|||  no | NA | NA 
they don't carry the same diseases we do. same reason cannibalism is dangerous|no|||  no | NA | NA 
yesterday i received 3/4 oz of good quality grass and it's all smokeable and it produces the exact effects i'm looking for.|yes|grass|marijuana|  yes |  grass |  Marijuana 
the only thing that comes close to matching your description is  dust. but impossible to tell obviously. but also they just gave you a free blunt to smoke for no reason?|yes|dust|cocaine|  yes |  dust |  PCP 
til people named monsterbreath are faggots that jump to conclusions based off of nearly nothing.|no|||  no | NA | NA 
will your parents walk in on you tripping? i recommend you do the acid in a setting with no distractions so you can just be free with it and not have to hold back.|yes|acid|lsd|  yes |  acid |  LSD 
when’s the last time you saw someone using gold dust to pay for a subway sandwich?|no|||  yes |  gold dust |  Cocaine 
lol. they then turn around and keep fighting|no|||  no | NA | NA 
god i don't even know how much concrete dust i've inhaled.|no|||  no | NA | NA 
drove three hours to see some friends i haven't seen in a while, drank a shit ton, smoked a lil, and on the ball drop railed a fat line of coke to start the new year.|yes|coke|cocaine|  yes |  coke |  Cocaine 
can confirm. have eaten melty ice cream.|no|||  no | NA | NA 
too many vendor mistakes on the market to order such a bulk. i don't want to buy 200gr. of baby powder..|yes|baby powder|cocaine|  no | NA | NA 
but i just recently got a gram of uncut fish scale from peru, and holy shit, it will change your entire view of the drug.|yes|fish scale|cocaine| yes | fish scale | High-quality cocaine 
too reliable to be profitable? i would take a ranger over an f150 any day for what i need a truck for.|no|||  no | NA | NA 
you pretty much just handed some dude in customs a lot of la tierra. or, they did an actual seizure.|yes|la tierra|heroin|  yes |  la tierra |  Marijuana 
so if you brush your teeth, it will slightly wear off a microscopic layer while being abrasive with your brushing.|no|||  no | NA | NA 
i do it everyday right here with you bastards! i don't even get paid to write about it. fuck this snowflake.|no|||  no | NA | NA 
doesn't matter if i'm in the us or somewhere in europe, i need the barry farrell in order to actually feel normal while i'm on methadone.|yes|barry farrell|ketamine|  yes |  barry farrell |  Heroin 
y go to acadica is out in this time of need and i have to get at least a kilo of green on this paycheck or i'm scared of never getting my vitamin k again|yes|vitamin k|ketamine|  yes |  green |  Marijuana 
i liked it when it first started, but then i made the horrific mistake of smoking a couple hits of some strong blue jeans.|yes|blue jeans|marijuana| yes | blue jeans | Synthetic drugs (possibly referring to synthetic cannabinoids) 
also, do you really wait a minute before eating ice cream?|no|||  no | NA | NA 
well take it from a guy that is in his fifties married to a woman that has gone through the menopause, bollox!|no|||  no | NA | NA 
still smoking, never had cancer.|no||| yes | Code word: smoking | Code word meaning: Smoking cigarettes or other substances 
i have added a little salt and a bit of disinfection spray thats meant for open wound cleaning. i think its enough to kill most bacteria in tapwater.|no|||  no | NA | NA 
