Sentences|Present|Code Word|Target Word
the thing is the ziploc bag was slightly open. the pill seems to be doing ok, i dried it off with some kleenex and it doesn't seem to be falling apart. |no||
i thought people were buying like grams of crystal off him.. i don't think any one would fe that am mount but maybe lol  |yes|crystal|methamphetamine
your not hardcore until you smoke dust.  |yes|dust|cocaine
how else are you supposed to win a knife fight against a stronger, faster opponent? |no||
its a joke, alpha actively encourages a poshite vendor who sells china white which is nothing but chinese fent analog |yes|china white|fentanyl
2 liter of regular coca-cola. drain fixed for $0.99 and little to no effort.  |no||
my eyes dilate but really really barely.  especially with acid and 2cb its totally unnoticeable.  i do have really dark brown eyes though. |yes|acid|lsd
well usually when i lost my ambien, it meant that i took one and stayed awake then ate the rest then tried to make burritos with cat food. |no||
wait, why are we dividing ice cream with guns? |no||
i've experienced this before. i was relatively new to smoking ganja (maybe a month) and smoked an entire bowl of kief. |yes|ganja|marijuana
"never mind i just checked him out. i can get the same stuff cheaper irl. except the mexican ""china white"". have you tried it? how's the quality? "|yes|china white|fentanyl
"been doing gold dust here and there from the street for a few years now, and it was always ""meh"" for me also "|yes|gold dust|cocaine
drill a small hole in from below to inject your epoxy or other adhesive. |no||
check his pot history. he is already trying to get people to direct deal with him through sigaint |yes|pot|marijuana
my advice wasn't meant to suggest you'd always walk away from the fight, just gain perspective and calm down. |no||
this batch looks much different from previous ones. looks like brown sugar, but smells the same as previous one |yes|brown sugar|heroin
ice will still fall off at highway speeds and is even more dangerous than snow |no||
doing coke by myself is the plan for now haha |yes|coke|cocaine
just be prepared for a few paint chips from the larger chunks of salt. |no||
yup. i travel a lot and it's the easiest way to keep in touch. |no||
i would have appreciated my ra throwing candy at me! |no||
well, at least you learned from your mistake. you're not jay from the inbetweener's now, and that's a good thing. |no||
"not sure on sub rules but the news post says ""police still trying to determine situation"" but a mate in the area said vitamin k was found in him "|yes|vitamin k|ketamine
not in canada bro... it's one of the few things that we don't get taxed on to pay for our socialized medicine nimbly bimbly |no||
they don't carry the same diseases we do. same reason cannibalism is dangerous  |no||
yesterday i received 3/4 oz of good quality grass and it's all smokeable and it produces the exact effects i'm looking for.|yes|grass|marijuana
the only thing that comes close to matching your description is  dust. but impossible to tell obviously. but also they just gave you a free blunt to smoke for no reason?|yes|dust|cocaine
til people named monsterbreath are faggots that jump to conclusions based off of nearly nothing. |no||
will your parents walk in on you tripping? i recommend you do the acid in a setting with no distractions so you can just be free with it and not have to hold back.|yes|acid|lsd
when’s the last time you saw someone using gold dust to pay for a subway sandwich? |no||
lol. they then turn around and keep fighting |no||
god i don't even know how much concrete dust i've inhaled. |no||
drove three hours to see some friends i haven't seen in a while, drank a shit ton, smoked a lil, and on the ball drop railed a fat line of coke to start the new year.|yes|coke|cocaine
can confirm. have eaten melty ice cream. |no||
too many vendor mistakes on the market to order such a bulk. i don't want to buy 200gr. of baby powder..|yes|baby powder|cocaine
but i just recently got a gram of uncut fish scale from peru, and holy shit, it will change your entire view of the drug. |yes|fish scale|cocaine
too reliable to be profitable? i would take a ranger over an f150 any day for what i need a truck for.  |no||
you pretty much just handed some dude in customs a lot of la tierra. or, they did an actual seizure. |yes|la tierra|heroin
so if you brush your teeth, it will slightly wear off a microscopic layer while being abrasive with your brushing. |no||
i do it everyday right here with you bastards! i don't even get paid to write about it. fuck this snowflake. |no||
doesn't matter if i'm in the us or somewhere in europe, i need the barry farrell in order to actually feel normal while i'm on methadone. |yes|barry farrell|ketamine
y go to acadica is out in this time of need and i have to get at least a kilo of green on this paycheck or i'm scared of never getting my vitamin k again |yes|vitamin k|ketamine
i liked it when it first started, but then i made the horrific mistake of smoking a couple hits of some strong blue jeans. |yes|blue jeans|marijuana
also, do you really wait a minute before eating ice cream? |no||
well take it from a guy that is in his fifties married to a woman that has gone through the menopause, bollox! |no||
still smoking, never had cancer. |no||
i have added a little salt and a bit of disinfection spray thats meant for open wound cleaning. i think its enough to kill most bacteria in tapwater.|no||
even something as simple as some peanut butter and crackers is a good idea, does not have to be anything fancy.|no||
whatever helps you sleep at night, creep. |no||
except the sugar and acid from the drink that has now entered your mouth |no||
lol they should've just photoshopped 'lean' on it. they probably just didn't want to pay coca-cola royalties for showing one of their product names |no||
they are 100µg tabs of tested flea powder. thank you for the tips, i will reconsider my dose. |yes|flea powder|heroin
some coke after pizza feels so fulfilling |no||
if you have enough steam to do anything to dust it's probably also enough to void your warranty on most phones. |no||
exactly, as long as you're not retarded and get drunk as fuck then smoke a shit load of weed, get the spins, then throw the fuck up. |yes|weed|marijuana
i've cat sat before so i am aware of their behavior but have not yet been infected by cat poo mind control amoebas.|no||
czechoslovakfarm is my go-to vendor if i need a-bomb. he's in a neighboring country, has amazing stealth, fast shipping, and good products for a low price. |yes|a-bomb|heroin
this just reminds me of trailer park boys since i haven't smoked hash |yes|hash|marijuana
i went deaf and blind. this was just a normal day in my life shooting a $20 of nyc fish scale. now the time i straight od'd on a fish scale shot was terrifying.|yes|fish scale|cocaine
i used to know a guy who actually got busted doing exactly that. two ounces of flour to undercover cops. |yes|flour|cocaine
or just buy regular milk and some lactase pills (i.e. lactaid) to take with it. |no||
i knew a guy who was smoking a cigar while driving, the cherry flew off, went down his throat, and he had to get a tracheotomy. |no||
picked up a 10 strip of acid which is more than i've ever possessed so i expect to be trippin in 2016. |yes|acid|lsd
apparently op forgot to take her pills today.  |no||
that's the way the cookie crumbles. |no||
many people prefer pepsi but i think coke is the best soda |no||
have you tried san pedro cactus? does it have similar effects to peyote? |yes|cactus|mescaline
thanks! yeah, i'm not a big weed person although i take a hit of a friend's j-bird from time to time.|yes|weed|marijuana
no,no. they were angels from the seventh dimension. i saw it in a candy flipped induced vision in early 2015.|yes|candy|ecstasy
smoking grass while cutting grass |yes|grass|marijuana
heads up, i sleep naked, just in case you wake up before me.. ;) |no||
oh yes definitely. i get that with weed sometimes too. |yes|weed|marijuana
dude they have no preoccupations there other than growing cookie haha so weird it comes from there! |yes|cookie|marijuana
i couldn't walk properly when we were walking back to our places in line, according to my friend i walked like a grasshopper or some shit. |no||
no clue, but if it were me i would probably inject a wood glue or epoxy into the bubble and then clamp it down |no||
no, that's fucking stupid.  people know the difference between reality and day dreams. |no||
i'm pretty sure if you tried this with actual kitty litter and not silica crystals |no||
you could just decompile it, inject some code, then recompile. |no||
next time you have a bonfire or scoop out the stove, throw it in a metal bucket for some free traction that won't kill your grass. |no||
"i feel the same way. ""duude you should sort your life out""- from someone who smokes daily and has done dust-"|yes|dust|cocaine
"actually salt and vinegar chips don't really have ""vinegar"" like you'd think of it"|no||
baking soda is akaline; it counteracts the acid in your sweat |no||
doesn't really make a difference what they're selling, but skittle is cheap and plentiful. |yes|skittle|ecstasy
the new maker i had to buy last week has a carafe (aka coffee pot, to non fancy people) and you can put the bigger pods in there for a single pot. |no||
"don't you feel sobered up and just with a mellow feeling of ""everything's nice""? maybe my candyflip is different to everybody's for some reason... "|yes|candy|ecstasy
the rule at my house is that you eat whatever i make or you don't eat at all. |no||
bc canada here. its only ever past 200 if its the most dank weed you've ever seen |yes|weed|marijuana
ive always had a bad stomach and ive found crushing helps ease come up nausea for me. that and some nice haze. |yes|haze|lsd
quality 5/5 it very good quality vitamin k came in a shiny chunk and smelled very strong |yes|vitamin k|ketamine
"i need an ounce of gorilla biscuits coke?"",""i don't know exactly who to go to. "|yes|gorilla biscuits|pcp
the colombian brown sugar, shouldnt have piees of tar in it.. that sounds like the mmf batch for sure.... thats weird. |yes|brown sugar|heroin
wtf! enough blue jeans makes my tongue drier than a stick of chalk |yes|blue jeans|marijuana
a nice black darjeeling tea with a little brown sugar is perfect for me. tea makes me sleep though. |no||
always smoking herb. going to order some bars and lucy when i get my tax return lol. it'll be a good time |yes|herb|marijuana
if you're going to drink k-cup coffee you might as well take caffeine pills cause you sure as hell don't like coffee. |no||
yeah, they're not stopping to give anyone a jump. |no||
upon opening i was blessed with the most intense blueberry smell i've ever encountered from pot before.|yes|pot|marijuana
to make that much money off alice you need to be selling like a sheet a day. |yes|alice|lsd
damn i hope so. isn't most of the acid in the us made by a handful of people? maybe theres a new family out there making it. |yes|acid|lsd
desperately trying to buy some hash but getting nowhere |yes|hash|marijuana
i had to go on anti-anxiety pills.  |no||
mdai is a good alternative to 5-mapb but it may as well be gold dust at this stage; which means that 5-mapb is the next most effective compound for inclusion in the mixture.|yes|gold dust|cocaine
therefore i would need to dose the brown sugar at 150mg to get 125mg pure euphoria? |yes|brown sugar|heroin
doubt the cartel does make flea powder, this is just marketing.|yes|flea powder|heroin
you found a very good guy as a dealer, but i think mine would give me weed on credit without problems |yes|weed|marijuana
lpt: candy bar wrappers and empty weed bags can work in a pinch too, but they are only 98% not 99% like condoms. |no||
no. there is obviously a problem. but you need to be able to prove beyond a reasonable doubt that he was committing the crime. |no||
take 15, wait an hour then take the rest, follow it up with 1 gram of china white |yes|china white|fentanyl
the outside hurts, from what i can tell, from constant wiping my nose with a kleenex - after some time, the skin on the outside/bottom of my nose gets irritated, and hurts. |no||
i'm aware you can't use ganja but man, just one measly hit and my nausea is gone. |yes|ganja|marijuana
feeling like you did too much coke is anxiety, it will slowly dissapear. put your drug life on hold until your legal troubles are over, and find a better way to make money without risking your freedom too much.|yes|coke|cocaine
unless you are malnourished from the last week,ganja is fine. just don't overwhelme yourselves. go slow.  |yes|ganja|marijuana
also candy land came out in 1949...thats just one example. |no||
"i'm sure you can find it but it's kinda like ""fish scale"" . doesn't really exist anymore unless you know the person manufacturing it "|yes|fish scale|cocaine
they use the search option and find tons of similar posts, you special snowflake! |no||
american here, i like to layer my tacos, white flour tortilla, cheese, hard shell, filings. |no||
"if you get pulled over with haze in your car, you are pretty much fucked anyway, no ""hiding"" is needed. "|yes|haze|lsd
a target employee this young teenage girl told me they get a free starbucks drink for every person they get to sign up for there dumb ass red card. |no||
im talking about for a large large order worth 20-40k. not an ounce of a-bomb. |yes|a-bomb|heroin
the dust i did over the weekend made me shit like 3 times after snorting about 150mgs.  is there something to that? |yes|dust|cocaine
picked up 50mg from heizzenberg. im just going to directly flame a drop of blue diamond in a glass hitter and inhale the damn thing. |yes|blue diamond|fentanyl
after a while, police intercepted a package, which revealed both the seller’s and the 45-year-old’s dark net usernames. his main product was crystal. |yes|crystal|methamphetamine
i see you ordered colombian brown sugar. that everyone who got the bad mmf rated at least a 7/10. |yes|brown sugar|heroin
sand comes in different sizes from really small pebbles to as fine as flour.|no||
pretty ironic how if you keep doing coke it'll only make it worse tho huh |yes coke||
legit vendor, top shelf product and even at full price (84 usd), the grass is well worth it. highly recommended! --|yes|grass|marijuana
in the uk it is an actual crime to not offer someone a cup of tea if they enter your house. even burglars. |no||
it's okay, his recipe was too salty anyway. |no||
the first webserver i'm going to try will be apache |no||
"i like the ""don't take yourself so seriously, nobody else does."" "|no||
he's being quite polite, but i ordered a strain of skittle and got a completely different strain |yes|skittle|ecstasy
this is the realest china white ive ever tried. its a slow creep but my god, i even got a rush off snorting (which never happened before).|yes|china white|fentanyl
flour tortillas work, too, if you like a very thin, crispy crust. |no||
hate that. baby powder helps. thanks btw junior. dick all chafed now. rolled too well. forgot to put effort into women bc i didnt even fucking care atm.|yes|baby powder|cocaine
why do you have to keep mentioning how shitty dealers are and how they all cut? i've had a plug for fish scale for the past 5 years. in my area it goes for 160/g |yes|fish scale|cocaine
or travel in europe where you can keep your shoes on. |no||
"i've heard real bad things about dieseltherapys stamps, but does anyone have experience with his """"blue diamond"""" stamps?  supposedly twice as strong. "|yes|blue diamond|fentanyl
45 minutes on flea powder is just about enough time to decide that the mess is even worth cleaning. |yes|flea powder|heroin
for the price it is really really good, but i wouldn't say it was gold dust |yes|gold dust|cocaine
smoke a little ganja and you'll be bueno! |yes|ganja|marijuana
was probably a mix up. i've had a very well known flour vendor send me an oz one time instead of the gram i ordered lol |yes|flour|cocaine
this was definably no fish scale. with fish scale they vaporize dope across the top of it. thats pure raw man! |yes|fish scale|cocaine
that's true. my uncle once caught a falling cactus. pure reflex. quick and dirty. |no||
hey guys. coming at ya with a review of dt's blue diamond #4 h! |yes|blue diamond|fentanyl
let's say you were ordering a pound of a-bomb. this quantity will obviously get intercepted. |yes|a-bomb|heroin
coca-cola's distinctive red and white logo is instantly recognizable and has become a symbol of american culture around the world.|no||
by that logic, i'll try to jump off a cliff next time i'm near one, because i daydream about flying.  |no||
same feeling the other day.  now i just want to eat beans every morning. |no||
i mean iam doing it like that for a couple of years now and its all good... i dont smoke dabs or something. just hash and buds. |yes|hash|marijuana
american here, i like to layer my tacos, white flour tortilla, cheese, hard shell, filings. |no||
specifically san pedro or peyote cactus. don't just go to the garden centre and start munching random succulents. |yes|cactus|mescaline
